Platform,Lat,Lon,Elevation (m),Year,Month,Day,Hour (UTC),Minute,DST,Sounding Base,Sounting Top,Sounding Levels,CAPE,700-500mb Lapse Rate,850-500mb Lapse Rate,LI,KI,Thompson Index,Total Totals,T 1000mb,T 850mb,T 700mb,T 500mb,Convective Temperature,1000-700mb RH,PWAT,700-500mb Average RH,Surface-700mb Average RH,Surface-700mb Average Wind Speed,1000-700mb Average U-Wind Component,1000-700mb Average V-Wind Component,850mb Average U-Wind Component,850mb Average V-Wind Component,700mb Average U-Wind Component,700mb Average V-Wind Component,500mb Average U-Wind Component,500mb Average V-Wind Component,250mb Average U-Wind Component,250mb Average V-Wind Component,0-6km Shear,0-3km Storm Relative Helicity,Wet Bulb Zero Level,Equilibrium Level,Lowest Freezing Level,-10C Level,Cloud Depth Ratio,Energy Helicity Index,Bulk Richardson Number,date,Precip?,Lightning?
KXMR,28.47,-80.55,5,2008,1,1,12,0,FALSE,16.4,100623.4,112,-11.53366022,-0.001786916,-0.001656599,-0.306528599,26.1,26.4065286,46.4,21.8,13,5.4,-10.3,18.54802319,87.10924086,39.28839663,24.77241946,87.5867107,16.99794285,16.5802822,4.094257968,14.81,8.55,24.24,14,28.66,20.07,68.68,25,0.005655222,-62.45655784,10701.6189,24609.219,14948.38395,19077.26439,0.556196642,0.004502204,-3964.417821,1/1/08,1,
KXMR,28.47,-80.55,5,2008,1,2,12,0,FALSE,16.4,100721.8,118,0,-0.002329608,-0.001112147,25.95173129,-46.9,-72.85173129,1,4.2,1.6,6.4,-13.9,-13.68451251,14.96641563,4.58811946,6.983681672,17.52552051,32.76300737,28.41493804,-13.77415835,17.72,-14.87,48.44,-12.98,60.8,5.32,88.97,41.49,0.008332777,-68.35230414,890.6147332,,2493.4384,17289.48201,,0,0,1/2/08,0,
KXMR,28.47,-80.55,5,2008,1,3,12,0,FALSE,16.4,100754.6,126,0,-0.002175498,-0.000738997,25.71990992,-28,-53.71990992,20.1,4.6,-4.9,3.8,-15.1,-0.831653847,52.03094702,8.755767182,4.414098487,,,4.724348886,-37.58384749,-13.97,-29.95,35.68,-50.95,43.47,-30.44,94.89,8.3,,-250.5709185,2840.356684,,3341.794554,16892.89057,,0,,1/3/08,1,
KXMR,28.47,-80.55,5,2008,1,4,12,0,FALSE,16.4,100820.2,132,78.14510785,-0.001906444,-0.001168957,10.1328394,-6.1,-16.2328394,32,12.2,1,1.4,-15.1,8.986668118,67.36193337,17.285066,13.84131083,68.059241,13.52028486,-6.983389597,-7.187301068,-12.24,-4.45,5.75,-6.85,26.05,0,58.96,15.8,0.003054843,-50.04856045,5872.355353,7718.246764,6018.70098,17199.47562,0.693144905,-0.024444063,49725.00552,1/4/08,1,
KXMR,28.47,-80.55,5,2008,1,5,12,0,FALSE,16.4,100689,118,85.16635047,-0.00136288,-0.001385125,6.637792735,7.3,0.662207265,38,15.2,6.4,-0.9,-12.7,13.893131,84.41181921,25.57999366,22.57166253,84.99433357,13.53002685,-11.32416496,-2.518951061,-12.05,0,6.03,-10.44,17.34,-10.01,35.49,-42.29,0.002610917,-15.84004864,8166.805198,10026.87818,8271.086311,17766.81141,0.794434705,-0.008431495,63406.94391,1/5/08,1,
KXMR,28.47,-80.55,5,2008,1,6,12,0,FALSE,16.4,100820.2,138,0,-0.001740068,-0.001562523,9.214158756,2.8,-6.414158756,41.7,17.4,9.8,3.2,-11.9,11.6229345,82.20508756,28.30621161,17.83812472,83.12819508,6.427237421,-1.762288649,4.041321994,3.13,2.62,2.55,-5.46,31.21,-21.85,82.89,14.62,0.005247394,6.417312765,8825.565783,,11827.94779,17364.81656,,0,0,1/6/08,1,
KXMR,28.47,-80.55,5,2008,1,7,12,0,FALSE,16.4,100590.6,117,0,-0.00185798,-0.001519719,5.963616952,2.5,-3.463616952,40.2,20,9.6,4.6,-11.7,14.14250387,64.34823567,26.0389365,16.34698371,65.41527444,11.52184112,-11.12943866,1.866312605,-13.02,0,-13.78,2.43,5.8,-8.28,30.13,0,0.001456705,8.711024791,7655.64856,,13999.7571,18578.00844,,0,0,1/7/08,1,
KXMR,28.47,-80.55,5,2008,1,8,12,0,FALSE,16.4,100492.1,123,0,-0.00227003,-0.001602336,2.771598631,4.9,2.128401369,39,20.2,10.4,7.8,-12.1,16.04040539,55.43786388,24.76393832,16.80020001,56.84811223,12.32475728,-10.33705794,6.201989283,-8.4,3.06,-9.98,8.37,5.64,5.64,36.56,-6.45,0.000487073,24.52161698,8622.622924,,14233.32696,18386.81514,,0,0,1/8/08,1,
KXMR,28.47,-80.55,5,2008,1,9,12,0,FALSE,16.4,60000,119,0,-0.002302322,-0.001905,13.49251967,-15.1,-28.59251967,29.4,19.4,13.2,6.6,-13.5,4.222876533,43.21444391,20.34797664,13.67318822,45.76537932,8.941784814,2.498924875,3.661459098,1.14,12.97,8.55,-14.81,14.06,5.12,74.06,0,0.002054608,42.36857335,8294.468498,,13268.51142,17434.93057,,0,0,1/9/08,1,
KXMR,28.47,-80.55,5,2008,1,10,12,0,FALSE,16.4,100164,125,0,-0.002131871,-0.001802658,5.731488317,17.6,11.86851168,49.5,21,11.2,4.6,-13.9,12.25747202,91.49475879,33.88784012,17.5083821,91.46432517,7.034842857,-4.014906198,3.856675042,0.61,6.97,-13.52,-3.62,17.34,-10.01,43.86,-52.27,0.003035717,-58.02092679,9817.343138,,12385.171,17356.55725,,0,0,1/10/08,1,
